business_id,application_date,business_name,industry,region,years_in_business,employees,loan_amount,loan_purpose,loan_term,annual_revenue,monthly_expenses,cash_balance,existing_debt,monthly_debt_payments,credit_score,missed_payments,prior_defaults,collateral_type,collateral_value,debt_to_revenue_ratio,debt_service_coverage_ratio,loan_to_collateral_ratio,risk_score,risk_level,decision,interest_rate,pricing_tier,monthly_payment,total_repayment,total_interest_income,approval_probability
1,2025-01-21,Swakop Construction,Tourism,Oshikoto,14,155,966874,Working Capital,12,10563532,396094,841530,3149872,14598,460,1,0,Inventory,706389,0.3,33.17,1.37,14.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,15.73
2,2025-11-05,Etosha Trading,Agriculture,Kavango East,18,142,985598,Construction,24,10189564,178021,280521,1987996,26848,830,7,0,Vehicle,3739451,0.2,25.0,0.26,9.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.67
3,2025-12-24,Otji Farming,Food Services,Kavango East,3,176,286331,Inventory,48,10915759,369271,1154700,3156166,8664,462,4,1,Vehicle,3846494,0.29,62.37,0.07,-39.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
4,2025-05-26,Katima Technologies,Construction,Erongo,4,227,1450313,Equipment Purchase,12,7940440,64539,950720,1821882,31934,767,7,0,Equipment,4817636,0.23,18.7,0.3,-2.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
5,2025-08-19,Kalahari Logistics,Agriculture,Oshana,11,155,1526714,Vehicle Purchase,24,8760101,695151,1143192,3762146,23680,742,0,0,Livestock,841422,0.43,1.47,1.81,45.9,Medium Risk,Review,0.15,Elevated Risk Premium,74025.24,1776605.76,249891.76,50.49
6,2025-05-16,Katima Retail,Agriculture,Oshana,10,53,1353177,Inventory,48,6895422,144434,1476130,975994,43466,551,5,1,Inventory,2761109,0.14,9.9,0.49,-0.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
7,2025-11-30,Kalahari Logistics,Mining Services,Otjozondjupa,12,116,1307859,Payroll Support,12,9970381,147729,991131,2731064,109945,757,3,1,Property,3014558,0.27,6.21,0.43,12.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.42
8,2025-03-08,Swakop Fishing,Manufacturing,Kavango East,9,22,1240990,Construction,12,7793684,437703,2787189,3261871,73907,623,6,0,Equipment,1247084,0.42,2.87,1.0,20.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,22.99
9,2025-05-22,Windhoek Technologies,Retail,Erongo,21,246,699576,Vehicle Purchase,12,12205851,742239,531732,2898834,79810,712,4,0,Vehicle,4678689,0.24,3.44,0.15,22.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,24.53
10,2025-06-15,Kalahari Retail,Transport,Oshikoto,23,102,105306,Construction,48,8364435,366853,2584425,1641841,23485,495,3,0,Vehicle,2258805,0.2,14.06,0.05,65.3,Medium Risk,Review,0.15,Elevated Risk Premium,2930.74,140675.52,35369.52,71.83
11,2025-02-14,Etosha Technologies,Agriculture,Oshikoto,14,116,889624,Equipment Purchase,24,4079850,707326,1904489,283622,28449,525,8,0,Inventory,280316,0.07,-12.91,3.17,14.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,16.28
12,2025-12-19,Etosha Construction,Agriculture,Khomas,12,79,1141319,Working Capital,36,8479634,90096,546879,3414337,56513,650,4,0,Inventory,2255975,0.4,10.91,0.51,-2.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
13,2025-11-15,Gobabis Logistics,Mining Services,Kavango East,8,91,935448,Vehicle Purchase,48,12658344,355127,1596691,1882335,62938,480,3,0,Property,1620867,0.15,11.12,0.58,19.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,21.01
14,2025-07-09,Gobabis Farming,Construction,Oshikoto,19,93,1807430,Working Capital,48,6371078,636344,1000786,1513971,39263,518,2,0,Vehicle,923774,0.24,-2.68,1.96,39.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,43.12
15,2025-05-29,Namib Trading,Technology,Hardap,18,74,1842693,Working Capital,60,429202,226426,2959028,1027284,68795,804,8,0,Savings,4606354,2.39,-2.77,0.4,62.3,Medium Risk,Review,0.15,Elevated Risk Premium,43837.54,2630252.4,787559.4,68.53
16,2025-04-10,Kalahari Tours,Retail,Khomas,17,88,854475,Expansion,24,2891083,654681,1549583,3060155,101119,615,3,1,Livestock,2865230,1.06,-4.09,0.3,13.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,14.74
17,2025-02-25,Swakop Technologies,Technology,Otjozondjupa,6,182,1931171,Construction,60,2284756,367319,137964,3549322,34838,683,1,0,Equipment,2698455,1.55,-5.08,0.72,6.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,7.26
18,2025-10-07,Okavango Logistics,Food Services,Otjozondjupa,24,145,180442,Expansion,36,11306960,746250,1395700,2143895,102032,750,2,0,Savings,3300891,0.19,1.92,0.05,71.5,Medium Risk,Review,0.15,Elevated Risk Premium,6255.08,225182.88,44740.88,78.65
19,2025-06-27,Namib Logistics,Construction,Khomas,25,173,1341250,Inventory,36,7630431,661433,2518138,1833372,26393,558,8,0,Livestock,2178598,0.24,-0.97,0.62,31.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,34.43
20,2025-04-06,Swakop Manufacturing,Mining Services,Khomas,22,83,216052,Construction,36,3114262,78637,2588953,465560,15563,684,1,0,Equipment,1754158,0.15,11.62,0.12,110.5,Low Risk,Approved,0.08,Standard Risk-Based Rate,6770.28,243730.08,27678.08,100.0
21,2025-01-03,Windhoek Logistics,Food Services,Kavango West,9,51,1927301,Technology Upgrade,24,5512278,258769,2928450,80075,45792,455,0,0,Equipment,1425084,0.01,4.38,1.35,86.8,Low Risk,Approved,0.08,Standard Risk-Based Rate,87166.6,2091998.4,164697.4,95.48
