business_id,business_name,industry,region,years_in_business,employees,loan_amount,loan_purpose,loan_term,annual_revenue,monthly_expenses,cash_balance,existing_debt,monthly_debt_payments,credit_score,missed_payments,prior_defaults,collateral_type,collateral_value
1,Kunene Logistics,Food Services,Kavango East,17,171,2137960,Construction,12,3193198,413604,1869913,2171572,87882,483,4,1,Livestock,3167417
2,Luderitz Food Services,Mining Services,Oshikoto,8,7,1809715,Technology Upgrade,24,10326277,137746,2006777,1880491,70048,830,4,0,Property,3531365
3,Gobabis Manufacturing,Retail,Oshikoto,3,215,1098590,Payroll Support,12,13804300,170807,584232,166265,66764,659,0,0,Vehicle,3063552
4,Walvis Construction,Agriculture,Erongo,16,231,1027280,Vehicle Purchase,24,1218569,693244,1122588,131549,35254,485,7,0,Inventory,2799887
5,Namib Farming,Technology,Kavango East,22,7,637103,Inventory,24,10520399,673615,2148959,3493825,2412,771,1,0,Livestock,3134475
6,Erongo Trading,Tourism,Khomas,22,240,1939300,Inventory,60,10942000,545738,1176777,176510,3944,766,5,1,Livestock,1165309
7,Kunene Technologies,Agriculture,Otjozondjupa,11,18,183548,Inventory,12,7857804,135074,2519175,3917790,96275,595,1,1,Inventory,3431349
8,Namib Supplies,Mining Services,Oshikoto,6,213,702664,Construction,60,8539231,510348,2841775,2496263,83833,599,6,0,Livestock,1237434
9,Luderitz Logistics,Logistics,Oshana,9,20,1537640,Equipment Purchase,12,3901375,265930,1552471,2435689,108562,659,4,0,Vehicle,4166626
10,Namib Retail,Retail,Kavango West,18,89,1126310,Technology Upgrade,60,12170784,128964,2964201,471302,28175,838,1,0,Vehicle,3637790
11,Caprivi Retail,Agriculture,Oshana,4,76,1724986,Payroll Support,12,10821126,611336,506315,2187658,73725,848,7,0,Equipment,2781744
12,Etosha Manufacturing,Logistics,Otjozondjupa,22,57,1389765,Construction,12,10961048,72790,1631994,1812092,9267,632,6,1,Livestock,1576350
13,Caprivi Trading,Transport,Hardap,22,180,1556799,Working Capital,24,4953146,64088,848723,2220993,451,764,5,1,Livestock,4736589
14,Etosha Transport,Mining Services,Karas,15,99,154798,Payroll Support,12,7507936,41052,2038114,167435,24133,703,5,0,Equipment,4742201
15,Caprivi Farming,Retail,Erongo,19,38,1539562,Working Capital,60,7746394,539320,1447874,455341,89375,796,0,0,Savings,458863
16,Erongo Supplies,Construction,Hardap,13,227,315535,Technology Upgrade,48,1863277,567919,1437153,3303411,88569,563,3,0,Property,1596105
17,Etosha Manufacturing,Logistics,Hardap,3,11,2030889,Equipment Purchase,12,13732646,554374,1958334,584859,50494,756,1,0,Livestock,1211162
18,Etosha Retail,Construction,Otjozondjupa,12,201,1115052,Technology Upgrade,36,12579229,105917,170618,665098,58763,646,2,1,Livestock,1703235
19,Okavango Transport,Mining Services,Khomas,5,173,570178,Expansion,36,1664804,670150,2072826,142853,77191,524,6,0,Livestock,4008823
20,Namib Logistics,Food Services,Otjozondjupa,3,240,1640138,Construction,36,1181947,166367,1160440,1544145,12896,617,0,0,Vehicle,1448939
21,Okavango Fishing,Agriculture,Oshana,8,3,340795,Vehicle Purchase,12,7107614,474657,140577,3596710,114466,578,1,0,Property,2198443
22,Kalahari Manufacturing,Retail,Khomas,25,193,2469892,Working Capital,24,7643850,85827,2091684,3645731,53324,835,8,0,Equipment,1541188
23,Swakop Food Services,Mining Services,Oshikoto,8,68,2117946,Technology Upgrade,60,2135825,794257,778368,2965074,38711,760,6,0,Equipment,104840
24,Caprivi Retail,Manufacturing,Karas,3,245,524919,Construction,36,13233777,405954,1699431,3449423,43010,768,2,0,Savings,1264277
25,Swakop Fishing,Manufacturing,Hardap,22,240,2094583,Equipment Purchase,24,7328317,605905,1373773,1719969,7998,504,4,1,Property,1919763
26,Caprivi Food Services,Transport,Khomas,12,226,2063040,Expansion,24,4182548,427230,1506131,3970564,24362,605,4,1,Property,4969133
27,Okavango Retail,Food Services,Khomas,8,16,247975,Expansion,12,9581964,101423,1231331,2360235,8803,701,8,0,Livestock,2317794
28,Luderitz Farming,Logistics,Karas,5,19,1221449,Expansion,60,2455738,377966,2222090,483501,13035,454,4,0,Livestock,1818046
29,Oshana Logistics,Agriculture,Oshana,3,111,414605,Equipment Purchase,12,13960884,337262,86022,1650100,5741,523,2,0,Livestock,4646046
30,Caprivi Trading,Mining Services,Oshikoto,22,158,2014280,Vehicle Purchase,36,8764202,635840,2684019,3652847,71626,725,1,0,Inventory,1289368
31,Kunene Construction,Transport,Oshikoto,20,43,427046,Payroll Support,24,5517331,266907,1556114,606417,13016,846,7,0,Savings,2957363
32,Oshana Logistics,Tourism,Kavango East,19,48,1047006,Expansion,24,1670147,748965,2188950,3466020,91569,655,4,0,Property,1293914
33,Caprivi Technologies,Transport,Khomas,4,201,1361480,Equipment Purchase,48,13932678,501464,273118,819839,16770,520,8,0,Livestock,2364452
34,Luderitz Logistics,Technology,Oshana,20,71,134804,Inventory,12,2854205,632066,819656,137301,11286,561,7,0,Vehicle,1141058
35,Gobabis Fishing,Mining Services,Khomas,15,97,2233666,Inventory,48,2394791,370754,2324349,2331904,2740,596,3,0,Livestock,1299116
36,Otji Retail,Retail,Kavango East,22,91,1013513,Expansion,48,13831910,24863,584838,579368,98746,546,5,0,Inventory,3059627
37,Windhoek Food Services,Construction,Khomas,17,136,1365082,Inventory,48,12322553,684718,1810378,3583152,24308,548,3,0,Savings,165954
38,Windhoek Manufacturing,Manufacturing,Khomas,21,191,1781837,Payroll Support,24,6631586,784336,2051169,2825519,106475,847,3,0,Property,147828
39,Etosha Farming,Retail,Oshana,20,114,1519651,Expansion,60,14350142,663310,1824850,2027125,106123,469,1,0,Inventory,3776119
40,Kalahari Manufacturing,Mining Services,Otjozondjupa,23,80,2451271,Technology Upgrade,24,8960040,755904,1705543,3013839,52700,768,3,0,Property,2255279
41,Namib Food Services,Construction,Oshikoto,10,162,1590673,Vehicle Purchase,12,4039600,784621,101792,2846011,88354,601,1,0,Livestock,4742362
42,Swakop Farming,Tourism,Kavango West,20,58,2136275,Expansion,36,9718559,159616,246500,1297766,70877,739,3,0,Savings,4275984
43,Okavango Trading,Logistics,Khomas,23,50,2104155,Construction,60,7413463,756337,537303,3422625,40867,501,1,0,Property,3740884
44,Gobabis Trading,Technology,Kavango East,20,31,2415675,Expansion,48,8535344,601097,1191665,1311228,25872,504,5,1,Savings,3820316
45,Luderitz Construction,Technology,Hardap,1,128,176759,Technology Upgrade,24,7953054,35408,2437583,1360479,97053,740,3,0,Property,571898
46,Otji Supplies,Technology,Kavango West,18,248,736901,Inventory,36,5967883,138310,2635314,933929,13125,826,4,1,Equipment,2544991
47,Kunene Farming,Transport,Oshikoto,5,137,2350517,Vehicle Purchase,36,9228141,78899,1936007,3975386,35290,467,0,0,Inventory,2080479
48,Windhoek Trading,Food Services,Kavango West,23,71,1811654,Equipment Purchase,60,6743011,26423,1406893,3686165,100755,512,3,0,Equipment,2307728
49,Gobabis Fishing,Food Services,Otjozondjupa,11,187,1204179,Working Capital,60,11752098,416213,1705980,3797725,46349,566,2,1,Property,2877896
50,Kunene Manufacturing,Manufacturing,Oshana,8,225,1496853,Expansion,24,5496356,677223,1039861,364382,26502,540,6,0,Property,3936240
51,Kalahari Transport,Food Services,Oshikoto,21,77,1986728,Expansion,24,8953484,735137,1058562,3625940,65538,700,6,0,Equipment,2265111
52,Luderitz Technologies,Transport,Otjozondjupa,4,153,172773,Working Capital,48,8720837,267025,1303374,3728712,56976,620,4,0,Inventory,2126191
53,Kunene Transport,Food Services,Khomas,12,173,2257636,Payroll Support,36,12289019,67307,2444485,2064753,810,716,7,1,Inventory,4262741
54,Okavango Construction,Food Services,Otjozondjupa,13,142,2324563,Vehicle Purchase,36,7353171,452779,744125,1951765,58603,648,8,1,Inventory,4091529
55,Etosha Trading,Retail,Kavango East,18,9,1963116,Working Capital,36,8448285,412006,524570,3686981,82960,499,1,0,Property,4469484
56,Kalahari Supplies,Manufacturing,Hardap,22,249,1575910,Vehicle Purchase,36,13716134,167532,2486852,607634,73057,679,7,0,Property,4319079
57,Windhoek Retail,Technology,Oshana,23,72,507662,Expansion,24,11076349,562496,2603972,3386115,30136,468,7,0,Vehicle,3680190
58,Erongo Transport,Construction,Khomas,22,144,2300885,Construction,36,4670043,271278,2561547,1916625,92674,724,1,1,Property,3903004
59,Kunene Supplies,Construction,Erongo,7,222,599254,Inventory,60,11488410,618703,2946429,1554768,25995,718,1,0,Inventory,1543129
60,Walvis Construction,Logistics,Oshikoto,20,108,790937,Expansion,24,2583518,477978,2266989,2824140,88140,828,1,0,Savings,2231932
61,Luderitz Supplies,Retail,Erongo,22,218,1585104,Working Capital,60,13055839,540791,323905,3117907,36307,484,1,0,Vehicle,4311466
62,Walvis Manufacturing,Manufacturing,Oshikoto,12,237,1650695,Technology Upgrade,60,1899631,755530,817713,3226196,89121,573,5,0,Livestock,722773
63,Caprivi Technologies,Logistics,Khomas,24,150,173377,Working Capital,36,11432460,558874,2012811,2100036,70619,833,2,0,Equipment,1686967
64,Gobabis Supplies,Agriculture,Oshana,11,187,2487854,Technology Upgrade,48,12408476,409505,1859452,3265695,29053,676,8,0,Equipment,2665808
65,Caprivi Technologies,Manufacturing,Khomas,18,219,1927149,Vehicle Purchase,36,11096566,601806,1412350,3560376,24518,604,4,1,Property,3893848
66,Walvis Farming,Logistics,Karas,20,17,424421,Vehicle Purchase,60,6499874,381599,1253518,1566050,63710,824,6,0,Equipment,1902326
